"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-mir-29b-2",2152.46889589875,1.37029871728431,0.132863426763678,10.3135885522631,6.11735283995307e-25,8.3071878420812e-24
"hsa-mir-616",15.9768311786423,2.71583415436757,0.263545831733833,10.3049785932885,6.69065723452329e-25,8.9559226124976e-24
"hsa-mir-193a",968.574412653511,-1.41840495875516,0.137669146970808,-10.3029980933631,6.82988547042144e-25,9.01352490955618e-24
"hsa-mir-1-2",35.7029926060534,-2.30170326545938,0.22536569046077,-10.2131928811056,1.73073968117379e-24,2.25236539063867e-23
"hsa-mir-133a-2",19.3810120642233,-2.33089680364814,0.230428661930933,-10.1154812257982,4.71693227601716e-24,6.05447334606587e-23
"hsa-mir-4668",8.35598375142682,2.61893176373093,0.259633876281083,10.0870186943388,6.30555387928446e-24,7.98419457417505e-23
"hsa-mir-133b",6.07422908071327,-2.46063050284575,0.245660210312823,-10.0163982588486,1.29122946659921e-23,1.61317601360461e-22
"hsa-mir-26a-1",6877.29843811005,-1.06681763729767,0.106713003575416,-9.99707253618561,1.56968776989832e-23,1.93525978999306e-22
"hsa-mir-503",41.7919571149876,2.2185093422177,0.221973557818935,9.99447575655539,1.61137585084025e-23,1.96085606784067e-22
"hsa-mir-1-1",33.9861228049934,-2.25955428353276,0.226761480359407,-9.96445375092572,2.18069300603597e-23,2.61962736750731e-22
"hsa-mir-33a",104.25363228881,1.75385272541656,0.176124568657696,9.95802424831048,2.32639901385419e-23,2.75928591896377e-22
"hsa-mir-26a-2",6900.42020529754,-1.05682597917569,0.106482895673663,-9.92484260021,3.2461448285753e-23,3.80204713046882e-22
"hsa-mir-3154",0.953497151478003,-3.18031909332574,0.321501609995512,-9.89207828032381,4.50575104167954e-23,5.21220830377004e-22
"hsa-let-7g",3111.34747610401,-0.956263161855383,0.0974136854528425,-9.81651764236253,9.55886590914436e-23,1.09227528742296e-21
"hsa-mir-192",9094.58754056895,3.1627303179459,0.323531667077027,9.77564374615888,1.43243775445213e-22,1.61710141677306e-21
"hsa-mir-374b",268.33344767034,-0.922613712689201,0.0945739732410947,-9.75547162787809,1.74786340641862e-22,1.94970001406458e-21
"hsa-mir-105-2",129.550152099955,6.88671879371909,0.711135029832545,9.68412257140637,3.52219841283784e-22,3.88270577979889e-21
"hsa-mir-93",16814.4616055744,1.23918441475232,0.128304435343732,9.65815726816064,4.53955816731164e-22,4.94600697996629e-21
"hsa-mir-105-1",129.342636953288,6.9372425105723,0.718684880420007,9.65269021176305,4.78827924122325e-22,5.13540404248221e-21
"hsa-mir-590",77.1955025941308,1.29547172417357,0.134218661402167,9.65194936858948,4.823004863804e-22,5.13540404248221e-21
"hsa-mir-574",444.284719921385,-1.34097277245736,0.139272493641791,-9.62841073203113,6.06603780522995e-22,6.38637912752861e-21
"hsa-mir-323b",21.7905800611707,3.65087915251961,0.384050905068728,9.50623759594127,1.9768321450819e-21,2.05810191104637e-20
"hsa-mir-99b",120139.369159737,-1.08636960437395,0.114750516931071,-9.46723059231633,2.87361201270011e-21,2.95887302846154e-20
"hsa-mir-224",248.100545002136,2.18320768588057,0.230962111563738,9.45266594204163,3.30308737771876e-21,3.36412268795922e-20
"hsa-mir-450a-1",20.0152640772115,1.94712854520702,0.208225787355113,9.35104421954398,8.67866157563488e-21,8.74398483480632e-20
"hsa-mir-326",112.883791616708,-1.88383618580714,0.202760004143149,-9.2909654138552,1.52895136746874e-20,1.5240717354449e-19
"hsa-mir-504",9.53610891035019,-2.37906018847844,0.256276790451926,-9.28316678339516,1.64514712168966e-20,1.6226345821297e-19
