,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000278023.7,37.5287486,3.617356864,0.209099022,17.29973111,4.73E-67,4.38E-65
ENSG00000159259.8,550.2639289,1.937197453,0.112011154,17.29468345,5.16E-67,4.77E-65
ENSG00000168952.15,377.0857846,-3.502863705,0.202566999,-17.29237101,5.37E-67,4.95E-65
ENSG00000171320.15,233.5550586,2.631054946,0.152178476,17.28927125,5.67E-67,5.21E-65
ENSG00000242147.3,74.08072547,3.966238587,0.229734999,17.2644073,8.72E-67,7.99E-65
ENSG00000100558.9,852.0209003,2.724794086,0.157865714,17.26020183,9.38E-67,8.57E-65
ENSG00000071282.12,1855.079314,-1.75011695,0.101496346,-17.24315226,1.26E-66,1.15E-64
ENSG00000167900.12,2649.132158,2.643038827,0.153382414,17.23169404,1.54E-66,1.40E-64
ENSG00000125462.19,183.3980019,5.322049084,0.308860074,17.23126275,1.55E-66,1.40E-64
ENSG00000171596.7,76.12101015,-2.679517796,0.155508389,-17.23069608,1.56E-66,1.41E-64
ENSG00000105011.9,827.3368284,2.367744639,0.137479477,17.22253164,1.80E-66,1.62E-64
ENSG00000011347.10,3103.017834,3.435000969,0.199463707,17.22118285,1.84E-66,1.66E-64
ENSG00000198488.10,810.572435,5.764636701,0.334818096,17.21721965,1.97E-66,1.77E-64
ENSG00000128610.12,132.4012651,5.6010391,0.325372088,17.21425812,2.08E-66,1.86E-64
ENSG00000069011.16,687.4816151,4.548950271,0.264359637,17.20743124,2.34E-66,2.08E-64
ENSG00000123119.12,196.3157638,-3.184475013,0.185348457,-17.1810171,3.68E-66,3.27E-64
ENSG00000031081.11,2408.595836,-2.125023373,0.123693108,-17.17980421,3.76E-66,3.34E-64
ENSG00000169679.15,1073.575043,2.639060361,0.153718673,17.16811828,4.60E-66,4.07E-64
ENSG00000125459.17,583.0843028,1.525196968,0.088888273,17.15858483,5.42E-66,4.78E-64
ENSG00000155886.11,54.55608291,5.149037335,0.300179922,17.15317036,5.95E-66,5.23E-64
ENSG00000173237.4,100.2467048,7.818723078,0.455977767,17.14715859,6.60E-66,5.79E-64
ENSG00000197381.16,1283.891423,-1.756568606,0.10250676,-17.13612451,7.98E-66,6.98E-64
ENSG00000188536.13,944.4019383,-4.154058703,0.242475421,-17.13187544,8.58E-66,7.49E-64
ENSG00000249859.12,891.136058,2.939314756,0.171673244,17.12156585,1.02E-65,8.92E-64
ENSG00000164749.13,397.8254812,3.51881809,0.205553507,17.11874513,1.08E-65,9.34E-64
ENSG00000196611.5,3381.184182,4.939018907,0.28852156,17.1183703,1.08E-65,9.37E-64
ENSG00000155660.11,21119.24695,1.767513065,0.1032985,17.11073318,1.23E-65,1.07E-63
ENSG00000244734.4,5409.75139,-4.256988844,0.248808164,-17.10952236,1.26E-65,1.09E-63
ENSG00000164849.10,47.68562571,-2.078125221,0.121525086,-17.10038061,1.47E-65,1.27E-63
ENSG00000100479.13,282.0391655,2.352133369,0.137610422,17.0926979,1.68E-65,1.44E-63
ENSG00000109255.11,242.1843856,4.592444937,0.268797622,17.08513977,1.91E-65,1.64E-63
ENSG00000213203.3,362.5823683,-2.026443178,0.118625851,-17.08264393,2.00E-65,1.70E-63
ENSG00000105339.11,2616.518088,-1.73463005,0.101699556,-17.05641708,3.13E-65,2.66E-63
